Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,Location,Origin,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$)
,Natural,Hydrological,Flood,Riverine flood,,"Sangla, Kalpa, Yangthang, Sumdo, Khab, Karcham, Leo, Akpa, Kharo villages (Kinnaur district, Himachal Pradesh province), Rampur Bushahr village (Shimla district, Himachal Pradesh province), Kullu, Bilaspur, Mandi districts (Himachal Pradesh)",Heavy rains,6530,Km2,,,,2005,6,26,2005,6,29,6,,5000,5000,,23000
,Natural,Hydrological,Flood,Riverine flood,,"Karnataka, Andhra Pradesh provinces",Monsoonal rain,619200,Km2,,,,2005,7,23,2005,8,16,126,,100000,100000,,
,Natural,Hydrological,Flood,Riverine flood,,"Raj Nandgaon, Durg districts (Chhattisgarh province), Baleshwar, Bhadrak, Jajpur districts (Orissa province), Bhandara, Gondiya, Nagpur districts (Maharashtra province), Balaghat, Katni, Jabalpur, Seoni districts (Madhya Pradesh province)",,312900,Km2,,,,2005,9,14,2005,9,20,89,,550000,550000,,420000
,Natural,Hydrological,Flood,Riverine flood,,"Surat, Vadodara, Bhavnagar, Panch Mahals, Narmada districts (Gujarat province)",Heavy rains,53200,Km2,,,,2005,9,22,2005,10,11,15,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Surat, Valsad, Navsari, Bharuch, Vadodara, Surendranagar, The Dangs, Ahmedabad, Anand, Kheda, Amreli, Bhavnagar, Junagadh, Rajkot, Narmada, Jamnagar, Gandhinagar, Sabarkantha districts (Gujarat province)",Heavy rains,,Km2,,,,2005,6,28,2005,7,15,239,,405000,405000,156000,2300000
,Natural,Hydrological,Flood,Riverine flood,,"Ashoknagar, Chhatarpur, Damoh, Jabalpur, Katni, Narsinghpur, Panna, Rewa, Sagar, Satna districts (Madhya Pradesh province)",Monsoonal rains,55740,Km2,,,,2005,7,2,2005,7,15,62,,49000,49000,,
,Natural,Hydrological,Flood,Riverine flood,,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, East Godavari, Guntur, Krishna, Nellore, Prakasam, Srikakulam, Vishakhapatnam, Vizianagaram, West Godavari districts (Andhra Pradesh province)",Heavy rains,,Km2,,,,2005,7,10,2005,7,10,12,,10000,10000,,
,Natural,Hydrological,Flood,Riverine flood,,"East Midnapore, South 24 Parganas, Barddhaman, Nadia districts (West Bengal province), Baleshwar district (Orissa province)",Heavy rains,29110,Km2,,,,2005,10,21,2005,10,24,19,,2000000,2250000,,117000
,Natural,Hydrological,Flood,Riverine flood,,"Salem, Namakkal, Karur, Erode, Tiruchchirappalli, Vellore, Perambalur, Nagapattinam, Kanniyakumari, Dharmapuri, Madurai, Villupuram, Chennai, Cuddalore districts (Tamil Nadu province), Karaikal district (Puducherry province), Bangalore Rural, Bangalore Urban, Mysore districts (Karnataka province), Nellore, Chittoor, Vishakhapatnam, Srikakulam, Vizianagaram, Cuddapah districts (Andhra Pradesh province), West Bengal, Orissa provinces",Monsoonal rain,131300,Km2,,,,2005,10,23,2005,11,13,162,,2000000,2000000,,
,Natural,Hydrological,Flood,Riverine flood,,Tamil Nadu province,Torrential rains,,Km2,,,,2005,12,2,2005,12,3,30,,200000,200000,,
,Natural,Hydrological,Flood,Riverine flood,,"Himachal Pradesh, Punjab, Jammu and Kashmir, Haryana provinces",Mosnoon rain,,Km2,,,,2005,7,5,2005,8,14,10,,2000,2000,,
,Natural,Hydrological,Landslide,Landslide,,"Guwahati city (Kamrup district, Assam province)",Monsoonal rain,,,,,,2005,8,24,2005,8,25,12,20,,20,,
,Natural,Meteorological,Extreme temperature ,Heat wave,,"Uttar Pradesh, Bihar, West Bengal, Orissa, Maharashtra, Andhra Pradesh provinces",,49,Â°C,,,,2005,6,,2005,6,,329,,,,,
,Natural,Meteorological,Extreme temperature ,Severe winter conditions,,"Uttar Pradesh, Punjab, Haryana, Himachal Pradesh, Delhi, Bihar, Rajasthan, Jammu and Kashmir provinces",,2,Â°C,,,,2005,12,,2006,1,,180,,,,,
,Natural,Biological,Epidemic,Bacterial disease,Meningococcal disease,"Delhi, Haryana, Chandigarh, Uttar Pradesh, Uttaranchal",,12000,Vaccinated,,,,2005,5,18,2005,6,21,48,,405,405,,
,Natural,Biological,Epidemic,Bacterial disease,Leptospirosis,Maharashtra state,,,Vaccinated,,,,2005,8,28,2005,8,30,66,,,,,
,Natural,Biological,Epidemic,Viral disease,Japanese encephalitis,"Uttar Pradesh, Bihar",,300000,Vaccinated,,,,2005,7,29,2005,9,13,296,,939,939,,
,Natural,Biological,Epidemic,Viral disease,Japanese encephalitis,Uttar Pradesh and Bihar states,,,Vaccinated,,,,2005,7,1,2005,11,10,296,,1145,1145,,
,Natural,Biological,Epidemic,Viral disease,Chikungunya virus disease,"Andhra Prasdesh, Maharashtra, Karnataka states",,,Vaccinated,,,,2005,12,,2006,4,,,,153324,153324,,
,Natural,Meteorological,Storm,,,"Guntur, Krishna, Srikakulam, Karimnagar, Nalgonda districts (Andhra Pradesh province)",,,Kph,,,,2005,5,1,2005,5,1,20,20,,20,,
,Natural,Meteorological,Storm,,,Kolkata district (West Bengal province),,,Kph,,,,2005,5,4,2005,5,4,11,20,,20,,
,Natural,Meteorological,Storm,,,"Andhra Pradesh, Orissa provinces",,,Kph,,,,2005,9,20,2005,9,20,33,,11000,61000,,
,Natural,Hydrological,Flood,Flash flood,,Jammu and Kashmir provinces,Monsoonal rai,,Km2,32.89,73.88,,2006,8,31,2006,9,11,19,,15000,15000,,
,Natural,Hydrological,Flood,Riverine flood,,"Gajapati, Rayagada districts (Orissa province)",Monsoonal rain,31360,Km2,19.17,83.65,,2006,7,3,2006,7,8,33,,,,,
,Natural,Hydrological,Flood,Riverine flood,,"Andhra Pradesh, Gujarat, Maharashtra, Chhattisgarh, Rajasthan, Madhya Pradesh, Orissa, Karnataka provinces",Monsoonal rain,165400,Km2,20.19,73.82,,2006,7,28,2006,9,12,350,65,,4000065,407000,3390000
,Natural,Meteorological,Storm,Convective storm,,"Uttar Pradesh, Gujarat provinces",,,Kph,,,,2006,5,2,2006,5,2,76,,,,,
,Natural,Meteorological,Storm,Tropical cyclone,,"Andhra Pradesh, West Bengal, Bihar provinces",Monsoonal rain,,Kph,19.73,83.75,,2006,9,18,2006,10,5,114,300,,150300,,
